Dvoyna s peresecheniyami bez probelov
 à;0,000495;0,001531;0,005613;0,001186;0,003626;0,002102;0,000000;0,001525;0,005413;0,001574;0,000693;0,006315;0,011985;0,003715;0,007431;0,001995;0,002515;0,003121;0,006408;0,005992;0,000591;0,000303;0,001162;0,000176;0,001631;0,000903;0,000282;0,000000;0,000000;0,000000;0,000404;0,001085;0,003185;
 á;0,001003;0,000003;0,000107;0,000010;0,000041;0,002440;0,000000;0,000006;0,000004;0,000963;0,000000;0,000284;0,000913;0,000069;0,000402;0,002456;0,000009;0,001331;0,000111;0,000014;0,001205;0,000000;0,000068;0,000007;0,000008;0,000010;0,000256;0,000129;0,004785;0,000021;0,000101;0,000005;0,000610;
 â;0,006556;0,000181;0,000365;0,000292;0,000758;0,005346;0,000000;0,000057;0,000749;0,005468;0,000000;0,000720;0,001008;0,000390;0,001979;0,008620;0,000863;0,001399;0,004746;0,000707;0,000901;0,000016;0,000100;0,000049;0,000268;0,001319;0,000011;0,000005;0,002887;0,000225;0,000282;0,000004;0,000360;
 ã;0,001011;0,000039;0,000088;0,000011;0,001448;0,000457;0,000000;0,000014;0,000025;0,000972;0,000000;0,000177;0,001817;0,000022;0,000315;0,009727;0,000109;0,000865;0,000122;0,000025;0,000726;0,000003;0,000007;0,000001;0,000050;0,000011;0,000000;0,000000;0,000000;0,000001;0,000010;0,000002;0,000008;
 ä;0,005096;0,000080;0,001015;0,000038;0,000086;0,005394;0,000000;0,000128;0,000041;0,002521;0,000000;0,000337;0,000942;0,000112;0,001989;0,004411;0,000167;0,001743;0,000523;0,000270;0,002126;0,000003;0,000076;0,000238;0,000074;0,000123;0,000001;0,000064;0,000626;0,000912;0,000026;0,000011;0,000486;
 å;0,000325;0,002595;0,004833;0,004792;0,003965;0,003042;0,000000;0,001229;0,002236;0,001568;0,002932;0,003007;0,007374;0,006094;0,010273;0,001869;0,003701;0,006917;0,006734;0,006573;0,000722;0,000059;0,001218;0,000220;0,001686;0,001200;0,000765;0,000000;0,000000;0,000001;0,000361;0,000468;0,000657;
 ¸;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
 æ;0,001632;0,000069;0,000022;0,000007;0,000919;0,004758;0,000000;0,000016;0,000010;0,001731;0,000000;0,000125;0,000008;0,000009;0,001206;0,000157;0,000033;0,000012;0,000127;0,000029;0,000302;0,000000;0,000000;0,000001;0,000049;0,000001;0,000000;0,000000;0,000000;0,000047;0,000011;0,000000;0,000016;
 ç;0,006446;0,000217;0,001055;0,000645;0,000991;0,000323;0,000000;0,000134;0,000098;0,000406;0,000000;0,000219;0,000240;0,000392;0,002305;0,000524;0,000149;0,000282;0,000186;0,000094;0,000368;0,000003;0,000005;0,000009;0,000086;0,000017;0,000000;0,000017;0,000430;0,000205;0,000037;0,000005;0,000543;
 è;0,000348;0,001385;0,005334;0,000938;0,002772;0,003427;0,000000;0,000597;0,002652;0,001901;0,001507;0,003031;0,005886;0,003992;0,006876;0,002008;0,002422;0,001261;0,004702;0,005523;0,000629;0,000076;0,001747;0,000999;0,002792;0,000601;0,000205;0,000000;0,000000;0,000001;0,000286;0,000284;0,002301;
 é;0,000396;0,000304;0,000679;0,000218;0,000716;0,000126;0,000000;0,000160;0,000190;0,000763;0,000000;0,000666;0,000281;0,000377;0,000955;0,000545;0,000738;0,000319;0,001418;0,000595;0,000176;0,000030;0,000078;0,000071;0,000346;0,000113;0,000013;0,000000;0,000000;0,000000;0,000077;0,000005;0,000091;
 ê;0,009147;0,000377;0,000603;0,000101;0,000242;0,000717;0,000000;0,000228;0,000111;0,003736;0,000000;0,000325;0,000535;0,000206;0,001416;0,009769;0,000355;0,001839;0,001530;0,000721;0,001836;0,000012;0,000085;0,000026;0,000180;0,000031;0,000008;0,000000;0,000000;0,000000;0,000130;0,000001;0,000118;
 ë;0,009385;0,000222;0,000834;0,000299;0,000279;0,006688;0,000000;0,000483;0,000150;0,006940;0,000000;0,000842;0,000620;0,000207;0,001034;0,008035;0,000619;0,000146;0,002280;0,000388;0,001605;0,000022;0,000046;0,000015;0,000663;0,000045;0,000005;0,000000;0,001146;0,004222;0,000151;0,001187;0,002112;
 ì;0,003088;0,000306;0,000691;0,000271;0,000381;0,003823;0,000000;0,000138;0,000190;0,003833;0,000000;0,000562;0,000322;0,000301;0,002330;0,004522;0,000817;0,000273;0,000934;0,000375;0,003366;0,000019;0,000086;0,000023;0,000503;0,000070;0,000007;0,000000;0,001164;0,000082;0,000086;0,000006;0,000605;
 í;0,013409;0,000340;0,000622;0,000209;0,000980;0,011930;0,000000;0,000066;0,000237;0,009455;0,000000;0,000502;0,000090;0,000137;0,004152;0,011873;0,000724;0,000204;0,001829;0,000788;0,003279;0,000038;0,000090;0,000290;0,000474;0,000026;0,000176;0,000000;0,003458;0,001436;0,000047;0,000192;0,002161;
 î;0,000286;0,005416;0,011143;0,005886;0,006088;0,003711;0,000000;0,002824;0,001879;0,002292;0,003593;0,003134;0,007070;0,006570;0,012689;0,002853;0,003571;0,007035;0,009540;0,009350;0,000744;0,000227;0,000647;0,000157;0,003262;0,001541;0,000205;0,000000;0,000000;0,000000;0,000556;0,000903;0,001176;
 ï;0,001427;0,000001;0,000005;0,000000;0,000004;0,002525;0,000000;0,000001;0,000003;0,000957;0,000000;0,000080;0,000658;0,000002;0,000085;0,009917;0,000034;0,007338;0,000016;0,000070;0,000642;0,000001;0,000001;0,000014;0,000040;0,000016;0,000001;0,000000;0,000317;0,000048;0,000001;0,000004;0,000406;
 ð;0,008095;0,000261;0,000448;0,000422;0,000425;0,006198;0,000000;0,000352;0,000039;0,005440;0,000000;0,000733;0,000076;0,000188;0,000905;0,008221;0,000154;0,000063;0,000310;0,000610;0,002782;0,000011;0,000138;0,000039;0,000098;0,000253;0,000037;0,000000;0,001488;0,001002;0,000006;0,000143;0,001067;
 ñ;0,002124;0,000175;0,002390;0,000105;0,000553;0,005229;0,000000;0,000230;0,000094;0,001777;0,000000;0,006060;0,003051;0,001111;0,001606;0,002997;0,002282;0,000233;0,000934;0,012532;0,000766;0,000024;0,000179;0,000059;0,000535;0,000079;0,000004;0,000024;0,000402;0,003458;0,000063;0,000166;0,003732;
 ò;0,006100;0,000312;0,003522;0,000086;0,000376;0,006137;0,000000;0,000104;0,000113;0,004858;0,000000;0,000861;0,000408;0,000224;0,001816;0,017042;0,000483;0,003155;0,001543;0,000344;0,001518;0,000043;0,000055;0,000086;0,000519;0,000022;0,000021;0,000039;0,001838;0,007359;0,000146;0,000062;0,000725;
 ó;0,000215;0,000849;0,001914;0,001285;0,002181;0,000444;0,000000;0,002099;0,000503;0,000767;0,000142;0,001435;0,001688;0,001649;0,001250;0,000518;0,001283;0,000758;0,001895;0,001688;0,000136;0,000046;0,000423;0,000014;0,001509;0,000836;0,000251;0,000000;0,000000;0,000000;0,000095;0,001169;0,000262;
 ô;0,000097;0,000003;0,000007;0,000001;0,000000;0,000147;0,000000;0,000000;0,000000;0,000337;0,000000;0,000001;0,000030;0,000003;0,000005;0,000125;0,000002;0,000155;0,000014;0,000027;0,000030;0,000005;0,000000;0,000000;0,000002;0,000000;0,000000;0,000000;0,000006;0,000055;0,000000;0,000001;0,000001;
 õ;0,000977;0,000124;0,000395;0,000085;0,000190;0,000104;0,000000;0,000049;0,000065;0,000410;0,000000;0,000193;0,000234;0,000191;0,000426;0,002880;0,000336;0,000173;0,000383;0,000125;0,000250;0,000014;0,000023;0,000012;0,000066;0,000027;0,000002;0,000001;0,000000;0,000000;0,000030;0,000003;0,000038;
 ö;0,000601;0,000009;0,000072;0,000007;0,000010;0,000807;0,000000;0,000003;0,000005;0,000227;0,000000;0,000123;0,000001;0,000008;0,000022;0,000342;0,000022;0,000004;0,000022;0,000007;0,000237;0,000000;0,000009;0,000009;0,000005;0,000001;0,000000;0,000000;0,000185;0,000000;0,000002;0,000000;0,000005;
 ÷;0,002581;0,000025;0,000116;0,000014;0,000034;0,003965;0,000000;0,000006;0,000034;0,001599;0,000000;0,000391;0,000065;0,000019;0,000698;0,000124;0,000107;0,000082;0,000094;0,005157;0,001094;0,000000;0,000008;0,000001;0,000016;0,000194;0,000000;0,000000;0,000000;0,000200;0,000005;0,000000;0,000020;
 ø;0,001073;0,000006;0,000107;0,000003;0,000001;0,002697;0,000000;0,000001;0,000001;0,001878;0,000000;0,000427;0,000633;0,000015;0,000427;0,000327;0,000018;0,000030;0,000005;0,000092;0,000339;0,000000;0,000003;0,000005;0,000003;0,000004;0,000000;0,000000;0,000000;0,000597;0,000001;0,000003;0,000003;
 ù;0,000377;0,000001;0,000001;0,000000;0,000000;0,001567;0,000000;0,000000;0,000000;0,000853;0,000000;0,000000;0,000001;0,000001;0,000036;0,000003;0,000002;0,000005;0,000001;0,000000;0,000107;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000026;0,000001;0,000000;0,000000;
 ú;0,000000;0,000000;0,000000;0,000000;0,000000;0,000135;0,000000;0,000001;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000001;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000007;0,000135;
 û;0,000076;0,000809;0,001618;0,000214;0,000408;0,001297;0,000000;0,000094;0,000257;0,000436;0,001439;0,000437;0,003067;0,001555;0,001022;0,000308;0,000645;0,000433;0,001394;0,001047;0,000124;0,000011;0,001072;0,000010;0,000301;0,000531;0,000005;0,000000;0,000000;0,000000;0,000057;0,000000;0,000065;
 ü;0,000171;0,000414;0,001216;0,000229;0,000521;0,001239;0,000000;0,000109;0,000522;0,001379;0,000000;0,002164;0,000243;0,000668;0,002565;0,000977;0,000980;0,000267;0,002278;0,000695;0,000287;0,000028;0,000106;0,000131;0,000668;0,000556;0,000028;0,000000;0,000000;0,000000;0,000308;0,000463;0,000683;
 ý;0,000000;0,000001;0,000004;0,000005;0,000002;0,000000;0,000000;0,000000;0,000005;0,000001;0,000007;0,000061;0,000049;0,000003;0,000032;0,000000;0,000006;0,000009;0,000007;0,003329;0,000000;0,000003;0,000007;0,000000;0,000000;0,000001;0,000000;0,000000;0,000000;0,000000;0,000001;0,000000;0,000000;
 þ;0,000094;0,000794;0,000274;0,000108;0,000475;0,000108;0,000000;0,000130;0,000095;0,000341;0,000002;0,000261;0,000114;0,000159;0,000337;0,000327;0,000308;0,000190;0,000575;0,000508;0,000118;0,000032;0,000038;0,000021;0,000258;0,000068;0,000439;0,000000;0,000000;0,000000;0,000065;0,000046;0,000061;
 ÿ;0,000326;0,000524;0,001535;0,000595;0,001187;0,000529;0,000000;0,000516;0,000712;0,001101;0,000132;0,000909;0,001260;0,000784;0,002633;0,000876;0,001159;0,000359;0,002313;0,002237;0,000299;0,000028;0,000326;0,000065;0,000558;0,000099;0,000261;0,000000;0,000000;0,000000;0,000187;0,000120;0,000311;
 ;à;á;â;ã;ä;å;¸;æ;ç;è;é;ê;ë;ì;í;î;ï;ð;ñ;ò;ó;ô;õ;ö;÷;ø;ù;ú;û;ü;ý;þ;ÿ;
Dvoyna s peresecheniyami s probelami
 ;à;á;â;ã;ä;å;¸;æ;ç;è;é;ê;ë;ì;í;î;ï;ð;ñ;ò;ó;ô;õ;ö;÷;ø;ù;ú;û;ü;ý;þ;ÿ;
 à;0,000007;0,000597;0,003002;0,000591;0,002187;0,000990;0,000000;0,001112;0,004115;0,000119;0,000577;0,004093;0,009567;0,002492;0,004251;0,000006;0,000592;0,002225;0,003580;0,004132;0,000058;0,000219;0,000843;0,000125;0,000773;0,000670;0,000227;0,000000;0,000000;0,000000;0,000002;0,000899;0,002313;0,018717;
 á;0,000822;0,000001;0,000083;0,000005;0,000032;0,002016;0,000000;0,000005;0,000002;0,000765;0,000000;0,000233;0,000752;0,000054;0,000324;0,001939;0,000001;0,001108;0,000084;0,000008;0,000967;0,000000;0,000056;0,000006;0,000006;0,000008;0,000212;0,000107;0,003985;0,000017;0,000000;0,000004;0,000490;0,000373;
 â;0,005402;0,000017;0,000043;0,000028;0,000310;0,004246;0,000000;0,000002;0,000533;0,004352;0,000000;0,000157;0,000735;0,000148;0,001261;0,006815;0,000205;0,001007;0,003319;0,000219;0,000664;0,000000;0,000057;0,000024;0,000075;0,001055;0,000008;0,000004;0,002404;0,000187;0,000001;0,000002;0,000269;0,005280;
 ã;0,000834;0,000000;0,000006;0,000002;0,001159;0,000357;0,000000;0,000000;0,000001;0,000766;0,000000;0,000125;0,001504;0,000001;0,000196;0,008054;0,000000;0,000705;0,000030;0,000007;0,000586;0,000001;0,000004;0,000000;0,000035;0,000007;0,000000;0,000000;0,000000;0,000001;0,000000;0,000002;0,000000;0,000658;
 ä;0,004229;0,000026;0,000773;0,000004;0,000040;0,004466;0,000000;0,000096;0,000002;0,002026;0,000000;0,000216;0,000765;0,000066;0,001522;0,003615;0,000068;0,001426;0,000314;0,000180;0,001752;0,000000;0,000059;0,000197;0,000026;0,000099;0,000001;0,000053;0,000521;0,000759;0,000000;0,000008;0,000393;0,000989;
 å;0,000044;0,001274;0,002358;0,003607;0,002388;0,002120;0,000000;0,000788;0,001174;0,000094;0,002441;0,001716;0,005691;0,003980;0,007034;0,000187;0,001327;0,005282;0,003810;0,004524;0,000091;0,000009;0,000770;0,000166;0,000867;0,000922;0,000625;0,000000;0,000000;0,000000;0,000001;0,000387;0,000334;0,018776;
 ¸;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
 æ;0,001355;0,000046;0,000000;0,000005;0,000751;0,003951;0,000000;0,000012;0,000002;0,001423;0,000000;0,000092;0,000003;0,000002;0,000969;0,000113;0,000001;0,000006;0,000087;0,000000;0,000248;0,000000;0,000000;0,000001;0,000038;0,000000;0,000000;0,000000;0,000000;0,000039;0,000000;0,000000;0,000000;0,000266;
 ç;0,005359;0,000157;0,000798;0,000506;0,000764;0,000242;0,000000;0,000101;0,000019;0,000301;0,000000;0,000093;0,000181;0,000262;0,001839;0,000387;0,000000;0,000202;0,000040;0,000013;0,000274;0,000000;0,000000;0,000003;0,000051;0,000006;0,000000;0,000014;0,000358;0,000170;0,000000;0,000004;0,000445;0,001092;
 è;0,000088;0,000410;0,002611;0,000404;0,001523;0,002337;0,000000;0,000308;0,001706;0,000546;0,001254;0,001550;0,004523;0,002743;0,003956;0,000114;0,000165;0,000623;0,002129;0,003704;0,000009;0,000022;0,001302;0,000792;0,001783;0,000403;0,000155;0,000000;0,000000;0,000000;0,000002;0,000233;0,001652;0,018314;
 é;0,000000;0,000001;0,000000;0,000000;0,000205;0,000003;0,000000;0,000000;0,000001;0,000000;0,000000;0,000117;0,000078;0,000051;0,000274;0,000004;0,000000;0,000002;0,000472;0,000234;0,000000;0,000004;0,000000;0,000039;0,000087;0,000049;0,000001;0,000000;0,000000;0,000000;0,000000;0,000000;0,000001;0,007073;
 ê;0,007545;0,000001;0,000180;0,000000;0,000004;0,000503;0,000000;0,000010;0,000010;0,002853;0,000000;0,000014;0,000355;0,000000;0,000589;0,007770;0,000000;0,001441;0,000868;0,000384;0,001433;0,000001;0,000001;0,000015;0,000000;0,000011;0,000000;0,000000;0,000000;0,000000;0,000001;0,000000;0,000000;0,004644;
 ë;0,007702;0,000020;0,000003;0,000115;0,000016;0,005117;0,000000;0,000371;0,000003;0,005362;0,000000;0,000292;0,000251;0,000010;0,000312;0,005778;0,000052;0,000000;0,001133;0,000028;0,001179;0,000004;0,000000;0,000001;0,000123;0,000004;0,000001;0,000000;0,000954;0,003516;0,000000;0,000988;0,001682;0,007173;
 ì;0,002457;0,000012;0,000001;0,000035;0,000000;0,003069;0,000000;0,000001;0,000002;0,002643;0,000000;0,000053;0,000115;0,000047;0,001324;0,003192;0,000073;0,000071;0,000106;0,000019;0,002620;0,000001;0,000001;0,000010;0,000019;0,000004;0,000002;0,000000;0,000969;0,000068;0,000003;0,000002;0,000387;0,006987;
 í;0,010886;0,000010;0,000004;0,000080;0,000619;0,009851;0,000000;0,000004;0,000016;0,007571;0,000000;0,000247;0,000000;0,000001;0,002838;0,009596;0,000000;0,000072;0,000970;0,000470;0,002530;0,000028;0,000000;0,000234;0,000243;0,000002;0,000145;0,000000;0,002880;0,001196;0,000000;0,000160;0,001748;0,005238;
 î;0,000004;0,003335;0,007140;0,004475;0,004138;0,002373;0,000000;0,001876;0,001018;0,000720;0,002992;0,001610;0,005429;0,004711;0,008202;0,000189;0,001100;0,005352;0,005806;0,006262;0,000047;0,000121;0,000342;0,000082;0,001573;0,001200;0,000157;0,000000;0,000000;0,000000;0,000038;0,000748;0,000514;0,023665;
 ï;0,001186;0,000000;0,000000;0,000000;0,000000;0,002101;0,000000;0,000000;0,000000;0,000789;0,000000;0,000063;0,000546;0,000001;0,000069;0,008253;0,000024;0,006110;0,000006;0,000056;0,000533;0,000001;0,000000;0,000011;0,000033;0,000013;0,000001;0,000000;0,000264;0,000040;0,000000;0,000003;0,000337;0,000058;
 ð;0,006727;0,000194;0,000323;0,000336;0,000331;0,005147;0,000000;0,000291;0,000016;0,004450;0,000000;0,000556;0,000055;0,000137;0,000685;0,006787;0,000065;0,000040;0,000182;0,000488;0,002298;0,000007;0,000112;0,000031;0,000067;0,000208;0,000030;0,000000;0,001239;0,000835;0,000000;0,000117;0,000876;0,000680;
 ñ;0,001712;0,000050;0,001787;0,000011;0,000311;0,004293;0,000000;0,000035;0,000020;0,001391;0,000000;0,004820;0,002483;0,000818;0,000946;0,002337;0,001700;0,000124;0,000559;0,010196;0,000523;0,000015;0,000130;0,000044;0,000405;0,000057;0,000002;0,000020;0,000335;0,002879;0,000003;0,000137;0,003090;0,002879;
 ò;0,004996;0,000021;0,002529;0,000007;0,000119;0,004933;0,000000;0,000004;0,000003;0,003744;0,000000;0,000499;0,000245;0,000026;0,001061;0,013918;0,000065;0,002526;0,000862;0,000073;0,001170;0,000020;0,000011;0,000065;0,000259;0,000004;0,000013;0,000033;0,001531;0,006128;0,000002;0,000049;0,000523;0,004455;
 ó;0,000034;0,000522;0,001061;0,000963;0,001523;0,000241;0,000000;0,001665;0,000286;0,000016;0,000118;0,000772;0,001284;0,001138;0,000224;0,000004;0,000562;0,000513;0,001003;0,001084;0,000002;0,000014;0,000297;0,000003;0,000849;0,000677;0,000205;0,000000;0,000000;0,000000;0,000014;0,000972;0,000112;0,006577;
 ô;0,000076;0,000000;0,000000;0,000000;0,000000;0,000122;0,000000;0,000000;0,000000;0,000278;0,000000;0,000000;0,000025;0,000002;0,000002;0,000103;0,000000;0,000129;0,000008;0,000022;0,000024;0,000004;0,000000;0,000000;0,000001;0,000000;0,000000;0,000000;0,000005;0,000046;0,000000;0,000001;0,000001;0,000029;
 õ;0,000766;0,000000;0,000106;0,000002;0,000002;0,000035;0,000000;0,000000;0,000000;0,000116;0,000000;0,000001;0,000091;0,000051;0,000141;0,002173;0,000001;0,000071;0,000045;0,000013;0,000134;0,000000;0,000000;0,000000;0,000001;0,000010;0,000000;0,000001;0,000000;0,000000;0,000000;0,000000;0,000000;0,002742;
 ö;0,000496;0,000001;0,000042;0,000000;0,000000;0,000667;0,000000;0,000000;0,000000;0,000174;0,000000;0,000092;0,000000;0,000001;0,000001;0,000272;0,000000;0,000000;0,000000;0,000000;0,000192;0,000000;0,000000;0,000007;0,000000;0,000001;0,000000;0,000000;0,000154;0,000000;0,000000;0,000000;0,000000;0,000187;
 ÷;0,002138;0,000000;0,000004;0,000000;0,000000;0,003294;0,000000;0,000000;0,000000;0,001287;0,000000;0,000295;0,000044;0,000004;0,000510;0,000052;0,000000;0,000053;0,000000;0,004262;0,000880;0,000000;0,000000;0,000000;0,000000;0,000159;0,000000;0,000000;0,000000;0,000167;0,000000;0,000000;0,000000;0,000713;
 ø;0,000892;0,000000;0,000084;0,000001;0,000000;0,002246;0,000000;0,000000;0,000000;0,001559;0,000000;0,000351;0,000525;0,000007;0,000352;0,000269;0,000006;0,000024;0,000000;0,000073;0,000281;0,000000;0,000000;0,000004;0,000000;0,000001;0,000000;0,000000;0,000000;0,000497;0,000000;0,000002;0,000000;0,000068;
 ù;0,000314;0,000000;0,000000;0,000000;0,000000;0,001305;0,000000;0,000000;0,000000;0,000710;0,000000;0,000000;0,000000;0,000000;0,000030;0,000001;0,000000;0,000004;0,000000;0,000000;0,000089;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000022;0,000000;0,000000;0,000000;0,000008;
 ú;0,000000;0,000000;0,000000;0,000000;0,000000;0,000112;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000006;0,000112;0,000001;
 û;0,000000;0,000463;0,000954;0,000093;0,000132;0,000975;0,000000;0,000026;0,000061;0,000007;0,001198;0,000159;0,002479;0,001149;0,000311;0,000000;0,000117;0,000288;0,000727;0,000695;0,000005;0,000000;0,000834;0,000002;0,000160;0,000429;0,000002;0,000000;0,000000;0,000000;0,000000;0,000000;0,000002;0,004332;
 ü;0,000000;0,000077;0,000025;0,000043;0,000032;0,000467;0,000000;0,000001;0,000166;0,000374;0,000000;0,001168;0,000000;0,000205;0,001150;0,000010;0,000002;0,000000;0,000838;0,000080;0,000000;0,000007;0,000001;0,000096;0,000058;0,000426;0,000021;0,000000;0,000000;0,000000;0,000002;0,000386;0,000384;0,010551;
 ý;0,000000;0,000001;0,000003;0,000004;0,000002;0,000000;0,000000;0,000000;0,000004;0,000001;0,000006;0,000051;0,000041;0,000003;0,000025;0,000000;0,000005;0,000008;0,000005;0,002772;0,000000;0,000002;0,000006;0,000000;0,000000;0,000001;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000002;
 þ;0,000001;0,000588;0,000003;0,000007;0,000249;0,000000;0,000000;0,000007;0,000003;0,000002;0,000001;0,000010;0,000011;0,000022;0,000030;0,000000;0,000008;0,000037;0,000165;0,000277;0,000000;0,000002;0,000010;0,000006;0,000058;0,000025;0,000361;0,000000;0,000000;0,000000;0,000000;0,000037;0,000000;0,003365;
 ÿ;0,000001;0,000023;0,000257;0,000278;0,000539;0,000072;0,000000;0,000277;0,000291;0,000035;0,000109;0,000111;0,000831;0,000315;0,000639;0,000000;0,000052;0,000066;0,000815;0,001358;0,000001;0,000000;0,000177;0,000037;0,000121;0,000044;0,000211;0,000000;0,000000;0,000000;0,000000;0,000098;0,000128;0,011386;
  ;0,003006;0,006620;0,014647;0,003439;0,007318;0,005138;0,000000;0,002417;0,004231;0,010886;0,000002;0,009075;0,003582;0,005844;0,016570;0,013284;0,014307;0,003796;0,016146;0,008256;0,004147;0,000397;0,001489;0,000287;0,006153;0,000749;0,000103;0,000000;0,000000;0,000001;0,002874;0,000037;0,002477;0,000000;
Dvoyna bez peresecheniy bez probelov
 ;à;á;â;ã;ä;å;¸;æ;ç;è;é;ê;ë;ì;í;î;ï;ð;ñ;ò;ó;ô;õ;ö;÷;ø;ù;ú;û;ü;ý;þ;ÿ;
